class,func
None,isalnum
None,isalpha
None,isascii
None,isblank
None,iscntrl
None,isdigit
None,isgraph
None,islower
None,isprint
None,ispunct
None,isspace
None,isupper
None,isxdigit
None,isctrl
None,ismeta
None,ascii
None,ctrl
None,alt
None,unctrl
