class,func
None,current_process
None,active_children
None,parent_process
BaseProcess,run
BaseProcess,start
BaseProcess,terminate
BaseProcess,kill
BaseProcess,join
BaseProcess,is_alive
BaseProcess,close
BaseProcess,name
BaseProcess,daemon
BaseProcess,authkey
BaseProcess,exitcode
BaseProcess,ident
BaseProcess,sentinel
_ParentProcess,is_alive
_ParentProcess,ident
_ParentProcess,join
_MainProcess,close
