class,func
None,makepath
None,abs_paths
None,removeduppaths
None,addpackage
None,addsitedir
None,check_enableusersite
None,getuserbase
None,getusersitepackages
None,addusersitepackages
None,getsitepackages
None,addsitepackages
None,setquit
None,setcopyright
None,sethelper
None,enablerlcompleter
None,venv
None,execsitecustomize
None,execusercustomize
None,main
